"","FID","publicid","origintime","longitude","latitude","depth","magnitude","magnitudetype","status","phases","type","agency","updatetime","origin_geom","Energy","Date","Time"
"67","quake.2013p614184","2013p614184","2013-08-16T05:57:52.448",174.3137,-41.687,5.1172,5.0747,"M","reviewed",26,"","WEL(GNS_Primary)","2013-08-16T06:25:07.055","POINT (-41.686988 174.31367)",0.118768152267747,2013-08-16,"05:57:52.448"
"68","quake.2013p614182","2013p614182","2013-08-16T05:56:10.606",174.0286,-41.6219,10.0391,5.0008,"M","reviewed",23,"","WEL(GNS_Primary)","2013-08-16T06:27:02.745","POINT (-41.621888 174.02858)",0.100184376572403,2013-08-16,"05:56:10.606"
"69","quake.2013p614135","2013p614135","2013-08-16T05:31:16.483",174.2623,-41.6688,14.2578,5.9759,"M","reviewed",40,"","WEL(GNS_Primary)","2013-08-16T05:47:44.587","POINT (-41.668797 174.26231)",0.946019307289914,2013-08-16,"05:31:16.483"
"70","quake.2013p614125","2013p614125","2013-08-16T05:26:39.651",174.0896,-41.7388,21.0547,4.8924,"M","reviewed",66,"","WEL(GNS_Primary)","2013-08-16T10:23:44.025","POINT (-41.738802 174.08964)",0.0780548691466238,2013-08-16,"05:26:39.651"
"71","quake.2013p614122","2013p614122","2013-08-16T05:24:17.409",174.1545,-41.698,5.0586,4.5731,"M","automatic",40,"","WEL(GNS_Primary)","2013-08-16T05:27:28.338","POINT (-41.697954 174.1545)",0.0374196740336664,2013-08-16,"05:24:17.409"
"72","quake.2013p613947","2013p613947","2013-08-16T03:51:35.749",174.1742,-41.6952,19.3555,5.5872,"M","reviewed",54,"","WEL(GNS_Primary)","2013-08-16T04:25:03.593","POINT (-41.695197 174.17422)",0.386544946598284,2013-08-16,"03:51:35.749"
"73","quake.2013p613901","2013p613901","2013-08-16T03:26:50.889",174.3672,-41.6168,16.6016,4.7323,"M","reviewed",39,"","WEL(GNS_Primary)","2013-08-16T07:51:22.98","POINT (-41.616828 174.3672)",0.0539883431999212,2013-08-16,"03:26:50.889"
"74","quake.2013p613891","2013p613891","2013-08-16T03:21:31.345",174.0577,-41.7762,17.3047,5.0098,"M","reviewed",40,"","WEL(GNS_Primary)","2013-08-16T04:36:38.627","POINT (-41.776238 174.05769)",0.102282185693405,2013-08-16,"03:21:31.345"
"75","quake.2013p613879","2013p613879","2013-08-16T03:15:06.191",174.0807,-41.7469,5.1172,4.5658,"M","automatic",64,"","WEL(GNS_Primary)","2013-08-16T03:24:35.535","POINT (-41.746882 174.08069)",0.0367959483014785,2013-08-16,"03:15:06.191"
"76","quake.2013p613867","2013p613867","2013-08-16T03:09:08.084",174.0495,-41.742,8.4567,5.5485,"M","reviewed",15,"","WEL(GNS_Primary)","2013-08-16T03:18:13.049","POINT (-41.742035 174.04953)",0.353590021100387,2013-08-16,"03:09:08.084"
"77","quake.2013p613862","2013p613862","2013-08-16T03:06:13.62",174.1842,-41.7228,5.2968,4.5935,"M","reviewed",20,"","WEL(GNS_Primary)","2013-08-16T03:30:58.345","POINT (-41.722813 174.18417)",0.039219314633265,2013-08-16,"03:06:13.62"
"78","quake.2013p613844","2013p613844","2013-08-16T02:56:27.347",174.2659,-41.5977,8.5063,5.0191,"M","reviewed",30,"","WEL(GNS_Primary)","2013-08-16T03:13:53.59","POINT (-41.597672 174.26587)",0.104496080263824,2013-08-16,"02:56:27.347"
"79","quake.2013p613836","2013p613836","2013-08-16T02:51:51.342",174.0813,-41.7275,5.0586,4.7287,"M","reviewed",32,"","WEL(GNS_Primary)","2013-08-16T03:21:46.898","POINT (-41.727504 174.0813)",0.053542667009824,2013-08-16,"02:51:51.342"
"80","quake.2013p613824","2013p613824","2013-08-16T02:45:27.142",174.1168,-41.7638,5.8203,5.3872,"M","reviewed",36,"","WEL(GNS_Primary)","2013-08-16T03:06:48.006","POINT (-41.76379 174.11679)",0.243893373027891,2013-08-16,"02:45:27.142"
"81","quake.2013p613809","2013p613809","2013-08-16T02:37:27.876",174.127,-41.7061,8.9844,5.3944,"M","reviewed",38,"","WEL(GNS_Primary)","2013-08-16T03:18:05.167","POINT (-41.706115 174.12701)",0.24797048987987,2013-08-16,"02:37:27.876"
"82","quake.2013p613797","2013p613797","2013-08-16T02:31:05.753",174.1522,-41.734,8.1641,6.6382,"M","reviewed",15,"","WEL(GNS_Primary)","2013-08-16T04:19:28.546","POINT (-41.733964 174.15219)",4.3471036960621,2013-08-16,"02:31:05.753"
"83","quake.2013p603186","2013p603186","2013-08-12T04:16:50.593",-179.3742,-30.9574,350,5.9802,"Mw(mB)","reviewed",28,"earthquake","WEL(GNS_Primary)","2013-08-12T21:40:37.595","POINT (-30.957367 -179.37418)",0.955432477640949,2013-08-12,"04:16:50.593"
"84","quake.2013p601192","2013p601192","2013-08-11T10:34:00.665",-176.7954,-30.2465,147.581,5.0306,"M","reviewed",37,"outside of network interest","WEL(GNS_Primary)","2013-08-11T22:08:21.86","POINT (-30.246519 -176.79543)",0.107300068693166,2013-08-11,"10:34:00.665"
"85","quake.2013p574429","2013p574429","2013-08-01T12:56:13.543",174.3243,-41.7303,6.1719,5.2038,"M","reviewed",51,"","WEL(GNS_Primary)","2013-08-01T23:05:10.173","POINT (-41.730256 174.32429)",0.15988215745081,2013-08-01,"12:56:13.543"
"86","quake.2013p572878","2013p572878","2013-07-31T23:10:11.481",174.3876,-41.5567,15.6055,4.87,"M","reviewed",30,"","WEL(GNS_Primary)","2013-07-31T23:16:07.479","POINT (-41.556747 174.38755)",0.0741310241300918,2013-07-31,"23:10:11.481"
"87","quake.2013p566944","2013p566944","2013-07-29T18:27:42.018",177.3276,-37.3232,154.7656,4.599,"M","reviewed",88,"","WEL(GNS_Primary)","2013-07-29T20:30:08.95","POINT (-37.323211 177.32756)",0.0397191549469441,2013-07-29,"18:27:42.018"
"88","quake.2013p565386","2013p565386","2013-07-29T04:37:49.797",172.6473,-42.667,8.8984,4.7482,"M","reviewed",137,"","WEL(GNS_Primary)","2013-07-29T04:55:22.652","POINT (-42.667023 172.64726)",0.0560015438761556,2013-07-29,"04:37:49.797"
"89","quake.2013p563639","2013p563639","2013-07-28T13:07:14.56",174.2955,-41.6948,11.6797,5.3876,"M","reviewed",147,"","WEL(GNS_Primary)","2013-07-28T13:18:15.748","POINT (-41.694796 174.29553)",0.244118110605489,2013-07-28,"13:07:14.56"
"90","quake.2013p563424","2013p563424","2013-07-28T11:11:52.246",179.9176,-34.4135,33,4.6806,"M","reviewed",14,"","WEL(GNS_Primary)","2013-07-29T04:43:05.581","POINT (-34.41346 179.9176)",0.0479291801219086,2013-07-28,"11:11:52.246"
"91","quake.2013p563421","2013p563421","2013-07-28T11:08:15.316",-179.9986,-28.0084,33,5.126,"M","reviewed",13,"outside of network interest","WEL(GNS_Primary)","2013-07-28T23:14:03.353","POINT (-28.00839 -179.99863)",0.133659551654644,2013-07-28,"11:08:15.316"
"92","quake.2013p562566","2013p562566","2013-07-28T03:34:20.743",179.9947,-30.6319,333,4.5504,"M","reviewed",29,"outside of network interest","WEL(GNS_Primary)","2013-07-28T22:16:54.215","POINT (-30.631872 179.99467)",0.0355140334982882,2013-07-28,"03:34:20.743"
"93","quake.2013p552596","2013p552596","2013-07-24T11:03:12.315",174.3952,-41.7211,5.1172,4.5413,"M","reviewed",93,"","WEL(GNS_Primary)","2013-07-24T20:07:20.039","POINT (-41.721076 174.39518)",0.0347776313854745,2013-07-24,"11:03:12.315"
"94","quake.2013p551757","2013p551757","2013-07-24T03:32:47.726",-174.4312,-24.7067,300,4.5749,"M","reviewed",6,"outside of network interest","WEL(GNS_Primary)","2013-07-24T04:06:05.063","POINT (-24.706692 -174.43118)",0.0375750874490488,2013-07-24,"03:32:47.726"
"95","quake.2013p550510","2013p550510","2013-07-23T16:31:30.458",-179.8961,-32.7875,33,4.809,"M","reviewed",25,"outside of network interest","WEL(GNS_Primary)","2013-07-24T00:03:39.281","POINT (-32.787521 -179.89612)",0.0644169265515177,2013-07-23,"16:31:30.458"
"96","quake.2013p548356","2013p548356","2013-07-22T21:24:24.902",174.1962,-41.6666,13.9648,4.7061,"M","reviewed",122,"","WEL(GNS_Primary)","2013-07-22T22:21:38.617","POINT (-41.666648 174.19624)",0.0508276464068373,2013-07-22,"21:24:24.902"
"97","quake.2013p547469","2013p547469","2013-07-22T13:31:46.229",174.3473,-41.5631,16.7773,4.8554,"M","reviewed",30,"","WEL(GNS_Primary)","2013-07-22T22:58:12.847","POINT (-41.56307 174.34732)",0.0716803306516052,2013-07-22,"13:31:46.229"
"98","quake.2013p547464","2013p547464","2013-07-22T13:29:52.64",174.2411,-41.6659,14.4336,4.6003,"M","reviewed",41,"","WEL(GNS_Primary)","2013-07-22T20:59:20.232","POINT (-41.665881 174.24113)",0.0398382268248835,2013-07-22,"13:29:52.64"
"99","quake.2013p546702","2013p546702","2013-07-22T06:43:09.338",174.2152,-41.6532,14.7266,4.5437,"M","reviewed",22,"","WEL(GNS_Primary)","2013-07-23T02:20:10.253","POINT (-41.653233 174.21522)",0.034970351694346,2013-07-22,"06:43:09.338"
"100","quake.2013p545900","2013p545900","2013-07-21T23:35:52.027",174.2331,-41.6732,13.9648,4.6784,"M","reviewed",109,"","WEL(GNS_Primary)","2013-07-21T23:48:03.13","POINT (-41.673153 174.2331)",0.0476869998101778,2013-07-21,"23:35:52.027"
